National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Upper Hunter,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,2002
Yarra,Melbourne - Inner,Major Cities of Australia,Local Road,2003
Coorong,South Australia - South East,Outer Regional Australia,Arterial Road,2004
West Coast,West and North West,Remote Australia,Sub-arterial Road,2005
Clarence Valley,Coffs Harbour - Grafton,Outer Regional Australia,National or State Highway,2006
Brisbane,Ipswich,Major Cities of Australia,Pedestrian Thoroughfare,2007
Unincorporated Vic,Hume,Outer Regional Australia,Arterial Road,2008
Augusta Margaret River,Bunbury,Inner Regional Australia,National or State Highway,2009
Alpine,Hume,Outer Regional Australia,Local Road,2010
Melton,Melbourne - West,Inner Regional Australia,Arterial Road,2011
Penrith,Sydney - Outer West and Blue Mountains,Inner Regional Australia,Local Road,2012
Canterbury-Bankstown,Sydney - Parramatta,Major Cities of Australia,Collector Road,2013
Greater Shepparton,Hume,Inner Regional Australia,National or State Highway,2014
Coorong,South Australia - South East,Inner Regional Australia,Arterial Road,2015
Kalamunda,Perth - South East,Major Cities of Australia,Local Road,2016
East Arnhem,Northern Territory - Outback,Very Remote Australia,Access road,2017
Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,2018
Dungog,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,2019
Alice Springs,Northern Territory - Outback,Remote Australia,Local Road,2020
Chittering,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,2021
Kingborough,Hobart,Inner Regional Australia,National or State Highway,2022
Bogan,Far West and Orana,Remote Australia,Arterial Road,2023
Whittlesea,Melbourne - North East,Inner Regional Australia,Local Road,2024
Logan,Logan - Beaudesert,Inner Regional Australia,Collector Road,2025
Murrumbidgee,Riverina,Outer Regional Australia,Arterial Road,2026
Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,Sub-arterial Road,2027
South Perth,Perth - South East,Major Cities of Australia,Local Road,2028
Palm Island,Townsville,Remote Australia,Local Road,2029
Broome,Western Australia - Outback (North),Very Remote Australia,National or State Highway,2030
Manningham,Melbourne - Outer East,Major Cities of Australia,Arterial Road,2031
Moyne,Warrnambool and South West,Outer Regional Australia,Sub-arterial Road,2032
Stonnington,Melbourne - Inner South,Major Cities of Australia,Collector Road,2033
Leeton,Riverina,Outer Regional Australia,Sub-arterial Road,2034
Corangamite,Warrnambool and South West,Outer Regional Australia,Local Road,2035
Meander Valley,Launceston and North East,Inner Regional Australia,Arterial Road,2036
Perenjori,Western Australia - Outback (South),Remote Australia,Arterial Road,2037
Edward River,Murray,Outer Regional Australia,National or State Highway,2038
Ararat,North West,Outer Regional Australia,Arterial Road,2039
Streaky Bay,South Australia - Outback,Very Remote Australia,Arterial Road,2040
Sutherland,Sydney - Sutherland,Inner Regional Australia,Sub-arterial Road,2041
York,Western Australia - Wheat Belt,Inner Regional Australia,Local Road,2042
Monash,Melbourne - Inner South,Major Cities of Australia,Local Road,2043
Whitehorse,Melbourne - Inner East,Major Cities of Australia,Arterial Road,2044
Parkes,Central West,Outer Regional Australia,Local Road,2045
Burnside,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,2046
West Daly,Northern Territory - Outback,Very Remote Australia,Access road,2047
Warrumbungle,Far West and Orana,Outer Regional Australia,Access road,2048
Capel,Bunbury,Inner Regional Australia,Arterial Road,2049
Mosman Park,Perth - Inner,Major Cities of Australia,National or State Highway,2050
Playford,Adelaide - North,Inner Regional Australia,National or State Highway,2051
Central Coast (Tas.),West and North West,Outer Regional Australia,Collector Road,2052
Loxton Waikerie,South Australia - South East,Outer Regional Australia,Access road,2053
Murweh,Queensland - Outback,Very Remote Australia,National or State Highway,2054
Campaspe,Shepparton,Inner Regional Australia,Collector Road,2055
Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,Collector Road,2056
Unincorporated NSW,Far West and Orana,Very Remote Australia,Sub-arterial Road,2057
Bland,Central West,Outer Regional Australia,Arterial Road,2058
Wentworth,Murray,Remote Australia,Local Road,2059
Greater Dandenong,Melbourne - South East,Major Cities of Australia,Sub-arterial Road,2060
Singleton,Hunter Valley exc Newcastle,Outer Regional Australia,Local Road,2061
Tweed,Richmond - Tweed,Inner Regional Australia,Access road,2062
Carpentaria,Queensland - Outback,Very Remote Australia,Sub-arterial Road,2063
Indigo,Hume,Inner Regional Australia,Sub-arterial Road,2064
Melville,Perth - South West,Major Cities of Australia,Arterial Road,2065
Narrogin,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,2066
Carrathool,Riverina,Remote Australia,National or State Highway,2067
Brighton,Hobart,Inner Regional Australia,Collector Road,2068
MacDonnell,Northern Territory - Outback,Remote Australia,Sub-arterial Road,2069
Dungog,Hunter Valley exc Newcastle,Inner Regional Australia,Sub-arterial Road,2070
Glen Innes Severn,New England and North West,Outer Regional Australia,Local Road,2071
West Torrens,Adelaide - West,Major Cities of Australia,National or State Highway,2072
Merredin,Western Australia - Wheat Belt,Remote Australia,Local Road,2073
Derwent Valley,South East,Outer Regional Australia,Sub-arterial Road,2074
Murrindindi,Melbourne - North East,Inner Regional Australia,Arterial Road,2075
Burnside,Adelaide - Central and Hills,Major Cities of Australia,Collector Road,2076
Berrigan,Murray,Outer Regional Australia,Local Road,2077
Clarence,Hobart,Inner Regional Australia,Local Road,2078
Launceston,Launceston and North East,Inner Regional Australia,Sub-arterial Road,2079
Unincorporated NT,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,2080
Kyogle,Richmond - Tweed,Inner Regional Australia,Local Road,2081
Westonia,Western Australia - Wheat Belt,Remote Australia,National or State Highway,2082
Meander Valley,Launceston and North East,Outer Regional Australia,Local Road,2083
Berrigan,Murray,Outer Regional Australia,National or State Highway,2084
Maranoa,Darling Downs - Maranoa,Remote Australia,Collector Road,2085
Whyalla,South Australia - Outback,Outer Regional Australia,Arterial Road,2086
Camden,Sydney - Outer South West,Major Cities of Australia,Local Road,2087
Glenelg,Warrnambool and South West,Outer Regional Australia,Sub-arterial Road,2088
Sydney,Sydney - City and Inner South,Major Cities of Australia,Pedestrian Thoroughfare,2089
Bridgetown-Greenbushes,Bunbury,Outer Regional Australia,Arterial Road,2090
Cobar,Far West and Orana,Very Remote Australia,Sub-arterial Road,2091
Muswellbrook,Hunter Valley exc Newcastle,Inner Regional Australia,Sub-arterial Road,2092
Morawa,Western Australia - Outback (South),Remote Australia,Local Road,2093
Bunbury,Bunbury,Inner Regional Australia,Local Road,2094
Liverpool Plains,New England and North West,Outer Regional Australia,National or State Highway,2095
East Gippsland,Latrobe - Gippsland,Remote Australia,National or State Highway,2096
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,National or State Highway,2097
Hawkesbury,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Collector Road,2098
Pyrenees,Ballarat,Inner Regional Australia,Arterial Road,2099
Benalla,Hume,Inner Regional Australia,Arterial Road,2100
Somerset,Moreton Bay - North,Outer Regional Australia,Sub-arterial Road,2101
Moorabool,Melbourne - West,Inner Regional Australia,Arterial Road,2102
South Gippsland,Latrobe - Gippsland,Outer Regional Australia,Arterial Road,2103
Gingin,Western Australia - Wheat Belt,Inner Regional Australia,National or State Highway,2104
Westonia,Western Australia - Wheat Belt,Remote Australia,Local Road,2105
West Tamar,Launceston and North East,Inner Regional Australia,Local Road,2106
Buloke,North West,Outer Regional Australia,Access road,2107
Claremont,Perth - Inner,Major Cities of Australia,Arterial Road,2108
Southern Grampians,Warrnambool and South West,Outer Regional Australia,Arterial Road,2109
Cootamundra-Gundagai,Riverina,Inner Regional Australia,Local Road,2110
Loxton Waikerie,South Australia - South East,Outer Regional Australia,Arterial Road,2111
Mingenew,Western Australia - Outback (South),Outer Regional Australia,Local Road,2112
Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,Access road,2113
Northern Grampians,North West,Outer Regional Australia,Local Road,2114
Merredin,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,2115
East Gippsland,Latrobe - Gippsland,Remote Australia,Sub-arterial Road,2116
Barcaldine,Queensland - Outback,Very Remote Australia,National or State Highway,2117
Bellingen,Coffs Harbour - Grafton,Inner Regional Australia,Access road,2118
Fraser Coast,Wide Bay,Outer Regional Australia,Local Road,2119
Bayside (Vic.),Melbourne - Inner South,Major Cities of Australia,Collector Road,2120
Livingstone,Central Queensland,Outer Regional Australia,Access road,2121
Light,Adelaide - North,Inner Regional Australia,Collector Road,2122
Central Desert,Northern Territory - Outback,Very Remote Australia,National or State Highway,2123
Unincorporated NT,Northern Territory - Outback,Remote Australia,National or State Highway,2124
Narrogin,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,2125
Murray,Western Australia - Wheat Belt,Inner Regional Australia,Local Road,2126
Lane Cove,Sydney - North Sydney and Hornsby,Major Cities of Australia,Local Road,2127
Port Stephens,Hunter Valley exc Newcastle,Major Cities of Australia,National or State Highway,2128
The Hills,Sydney - Parramatta,Major Cities of Australia,National or State Highway,2129
Liverpool,Sydney - South West,Inner Regional Australia,Collector Road,2130
Chapman Valley,Western Australia - Outback (South),Outer Regional Australia,National or State Highway,2131
Naracoorte Lucindale,South Australia - South East,Outer Regional Australia,Access road,2132
Carrathool,Riverina,Outer Regional Australia,Local Road,2133
Bruce Rock,Western Australia - Wheat Belt,Remote Australia,Local Road,2134
Meander Valley,Launceston and North East,Outer Regional Australia,Collector Road,2135
Central Coast (NSW),Central Coast,Major Cities of Australia,Sub-arterial Road,2136
West Arthur,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,2137
Boddington,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,2138
Yorke Peninsula,Barossa - Yorke - Mid North,Remote Australia,Arterial Road,2139
Unincorporated NT,Northern Territory - Outback,Remote Australia,Arterial Road,2140
Halls Creek,Western Australia - Outback (North),Very Remote Australia,National or State Highway,2141
Kentish,West and North West,Outer Regional Australia,Local Road,2142
Narromine,Far West and Orana,Outer Regional Australia,Arterial Road,2143
Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,Sub-arterial Road,2144
Goomalling,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,2145
Devonport,West and North West,Outer Regional Australia,Collector Road,2146
Central Highlands (Tas.),South East,Outer Regional Australia,Collector Road,2147
Eurobodalla,Capital Region,Inner Regional Australia,Access road,2148
Strathfield,Sydney - Inner West,Major Cities of Australia,Local Road,2149
Kalamunda,Perth - South East,Inner Regional Australia,Local Road,2150
Loxton Waikerie,South Australia - South East,Outer Regional Australia,Local Road,2151
Collie,Bunbury,Inner Regional Australia,Arterial Road,2152
Camden,Sydney - South West,Major Cities of Australia,Collector Road,2153
Barkly,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,2154
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,2155
Claremont,Perth - Inner,Major Cities of Australia,National or State Highway,2156
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,Access road,2157
Mount Magnet,Western Australia - Outback (South),Very Remote Australia,Arterial Road,2158
Port Stephens,Hunter Valley exc Newcastle,Major Cities of Australia,Sub-arterial Road,2159
Unincorporated NSW,Far West and Orana,Remote Australia,Sub-arterial Road,2160
Armidale,New England and North West,Outer Regional Australia,Local Road,2161
Dalwallinu,Western Australia - Wheat Belt,Remote Australia,National or State Highway,2162
Kyogle,Richmond - Tweed,Outer Regional Australia,Sub-arterial Road,2163
Yorke Peninsula,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,2164
West Arthur,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,2165
Waratah-Wynyard,West and North West,Outer Regional Australia,Local Road,2166
Snowy Monaro,Capital Region,Outer Regional Australia,Local Road,2167
Subiaco,Perth - Inner,Major Cities of Australia,Arterial Road,2168
Trayning,Western Australia - Wheat Belt,Remote Australia,Arterial Road,2169
Lismore,Richmond - Tweed,Inner Regional Australia,Sub-arterial Road,2170
Manjimup,Bunbury,Remote Australia,Arterial Road,2171
Lockhart,Riverina,Inner Regional Australia,Local Road,2172
Greater Hume,Murray,Outer Regional Australia,Local Road,2173
Kentish,West and North West,Outer Regional Australia,Collector Road,2174
Snowy Monaro,Capital Region,Inner Regional Australia,Sub-arterial Road,2175
Muswellbrook,Hunter Valley exc Newcastle,Outer Regional Australia,National or State Highway,2176
Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,Collector Road,2177
Lake Grace,Western Australia - Wheat Belt,Very Remote Australia,Local Road,2178
Coolamon,Riverina,Outer Regional Australia,Sub-arterial Road,2179
Corrigin,Western Australia - Wheat Belt,Remote Australia,Arterial Road,2180
Kangaroo Island,South Australia - South East,Remote Australia,Arterial Road,2181
Burwood,Sydney - Inner West,Major Cities of Australia,Collector Road,2182
Gnowangerup,Western Australia - Wheat Belt,Remote Australia,Local Road,2183
Esperance,Western Australia - Outback (South),Very Remote Australia,National or State Highway,2184
Kiama,Illawarra,Major Cities of Australia,Collector Road,2185
Randwick,Sydney - City and Inner South,Major Cities of Australia,Local Road,2186
Kempsey,Mid North Coast,Outer Regional Australia,Sub-arterial Road,2187
Greater Dandenong,Melbourne - South East,Major Cities of Australia,Collector Road,2188
Uralla,New England and North West,Inner Regional Australia,National or State Highway,2189
Victor Harbor,South Australia - South East,Inner Regional Australia,Local Road,2190
Port Hedland,Western Australia - Outback (North),Very Remote Australia,Access road,2191
Orange,Central West,Inner Regional Australia,Access road,2192
Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,Local Road,2193
Wentworth,Murray,Remote Australia,Sub-arterial Road,2194
Sydney,Sydney - Eastern Suburbs,Major Cities of Australia,Local Road,2195
Central Highlands (Tas.),South East,Outer Regional Australia,Arterial Road,2196
Franklin Harbour,South Australia - Outback,Outer Regional Australia,Arterial Road,2197
Unley,Adelaide - Central and Hills,Major Cities of Australia,Local Road,2198
Melton,Melbourne - North West,Major Cities of Australia,Collector Road,2199
Brookton,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,2200
Mid Murray,South Australia - South East,Outer Regional Australia,Arterial Road,2201
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Outer Regional Australia,Local Road,2202
Mount Barker,Adelaide - Central and Hills,Major Cities of Australia,Local Road,2203
Hobart,Hobart,Inner Regional Australia,Collector Road,2204
Unincorporated NSW,Far West and Orana,Very Remote Australia,Arterial Road,2205
Port Lincoln,South Australia - Outback,Remote Australia,Arterial Road,2206
Murray,Mandurah,Major Cities of Australia,National or State Highway,2207
Port Phillip,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,2208
Unincorporated NT,Darwin,Outer Regional Australia,Local Road,2209
Camden,Sydney - South West,Major Cities of Australia,Arterial Road,2210
Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,Arterial Road,2211
West Daly,Northern Territory - Outback,Remote Australia,Access road,2212
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,2213
Kingston (SA),South Australia - South East,Remote Australia,Local Road,2214
Greater Geraldton,Western Australia - Outback (South),Remote Australia,Arterial Road,2215
Moira,Shepparton,Inner Regional Australia,Collector Road,2216
Merri-bek,Melbourne - North West,Major Cities of Australia,Collector Road,2217
The Hills,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Sub-arterial Road,2218
Burnie,West and North West,Outer Regional Australia,National or State Highway,2219
Hindmarsh,North West,Outer Regional Australia,Arterial Road,2220
Liverpool,Sydney - South West,Inner Regional Australia,Arterial Road,2221
Kyogle,Richmond - Tweed,Outer Regional Australia,National or State Highway,2222
Walgett,Far West and Orana,Remote Australia,Local Road,2223
Macedon Ranges,Bendigo,Inner Regional Australia,Collector Road,2224
Clarence,Hobart,Inner Regional Australia,Access road,2225
Gingin,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,2226
Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,2227
Derby-West Kimberley,Western Australia - Outback (North),Very Remote Australia,Arterial Road,2228
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Inner Regional Australia,Sub-arterial Road,2229
Brimbank,Melbourne - North West,Major Cities of Australia,Local Road,2230
Swan,Perth - North East,Inner Regional Australia,Arterial Road,2231
Shark Bay,Western Australia - Outback (South),Very Remote Australia,National or State Highway,2232
Wodonga,Hume,Inner Regional Australia,Arterial Road,2233
Yorke Peninsula,Barossa - Yorke - Mid North,Remote Australia,Pedestrian Thoroughfare,2234
Hawkesbury,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Sub-arterial Road,2235
Exmouth,Western Australia - Outback (South),Very Remote Australia,Arterial Road,2236
Holdfast Bay,Adelaide - South,Major Cities of Australia,Local Road,2237
Ararat,Ballarat,Outer Regional Australia,National or State Highway,2238
Kingborough,South East,Outer Regional Australia,Collector Road,2239
Mundaring,Perth - North East,Inner Regional Australia,Arterial Road,2240
Sandstone,Western Australia - Outback (South),Very Remote Australia,Arterial Road,2241
Surf Coast,Warrnambool and South West,Inner Regional Australia,Local Road,2242
Port Hedland,Western Australia - Outback (North),Remote Australia,National or State Highway,2243
Hilltops,Capital Region,Outer Regional Australia,National or State Highway,2244
King Island,West and North West,Very Remote Australia,Local Road,2245
Armidale,New England and North West,Outer Regional Australia,Sub-arterial Road,2246
Marion,Adelaide - South,Major Cities of Australia,Arterial Road,2247
Bayswater,Perth - North East,Major Cities of Australia,National or State Highway,2248
Brookton,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,2249
Burwood,Sydney - Inner West,Major Cities of Australia,National or State Highway,2250
Walgett,Far West and Orana,Remote Australia,Sub-arterial Road,2251
Hilltops,Capital Region,Outer Regional Australia,Local Road,2252
Gnowangerup,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,2253
Merredin,Western Australia - Wheat Belt,Remote Australia,National or State Highway,2254
Boyup Brook,Bunbury,Outer Regional Australia,Arterial Road,2255
Meander Valley,Launceston and North East,Inner Regional Australia,Local Road,2256
Anangu Pitjantjatjara Yankunytjatjara,South Australia - Outback,Very Remote Australia,National or State Highway,2257
Beverley,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,2258
Cottesloe ,Perth - Inner,Major Cities of Australia,Local Road,2259
Chittering,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,2260
Port Adelaide Enfield,Adelaide - North,Major Cities of Australia,Local Road,2261
Dalwallinu,Western Australia - Wheat Belt,Remote Australia,Arterial Road,2262
South Perth,Perth - South East,Major Cities of Australia,Arterial Road,2263
Karoonda East Murray,South Australia - South East,Outer Regional Australia,Local Road,2264
Waroona,Bunbury,Inner Regional Australia,Arterial Road,2265
Karratha,Western Australia - Outback (North),Very Remote Australia,Local Road,2266
Unincorporated SA,South Australia - Outback,Remote Australia,Access road,2267
Unley,Adelaide - Central and Hills,Major Cities of Australia,National or State Highway,2268
Murray,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,2269
Wickepin,Western Australia - Wheat Belt,Remote Australia,Local Road,2270
Northern Areas,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,2271
Yilgarn,Western Australia - Wheat Belt,Remote Australia,Local Road,2272
Kingston (SA),South Australia - South East,Outer Regional Australia,Local Road,2273
Northern Areas,Barossa - Yorke - Mid North,Outer Regional Australia,Collector Road,2274
Central Coast (Tas.),West and North West,Outer Regional Australia,Arterial Road,2275
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,Collector Road,2276
Collie,Bunbury,Inner Regional Australia,National or State Highway,2277
Leonora,Western Australia - Outback (South),Very Remote Australia,National or State Highway,2278
